=> using pre-trained model 'resnet34'
Epoch: [0][73/259]	Time 1.904 (1.980)	Data 0.001 (0.020)	Loss 0.1618 (0.2011)	
Epoch: [0][74/259]	Time 1.926 (1.979)	Data 0.001 (0.019)	Loss 0.1505 (0.2004)	
Epoch: [0][75/259]	Time 1.863 (1.978)	Data 0.001 (0.019)	Loss 0.1487 (0.1997)	
Epoch: [0][76/259]	Time 1.898 (1.977)	Data 0.001 (0.019)	Loss 0.1432 (0.1990)	
Epoch: [0][77/259]	Time 1.909 (1.976)	Data 0.001 (0.019)	Loss 0.1580 (0.1985)	
Epoch: [0][78/259]	Time 1.932 (1.975)	Data 0.001 (0.018)	Loss 0.1454 (0.1978)	
Epoch: [0][79/259]	Time 1.832 (1.973)	Data 0.001 (0.018)	Loss 0.1400 (0.1971)	
Epoch: [0][80/259]	Time 1.844 (1.972)	Data 0.001 (0.018)	Loss 0.1487 (0.1965)	
Epoch: [0][81/259]	Time 1.921 (1.971)	Data 0.001 (0.018)	Loss 0.1588 (0.1960)	
Epoch: [0][82/259]	Time 1.902 (1.970)	Data 0.001 (0.018)	Loss 0.1456 (0.1954)	
Epoch: [0][83/259]	Time 1.897 (1.969)	Data 0.001 (0.017)	Loss 0.1440 (0.1948)	
Epoch: [0][84/259]	Time 1.978 (1.970)	Data 0.001 (0.017)	Loss 0.1620 (0.1944)	
Epoch: [0][85/259]	Time 1.904 (1.969)	Data 0.001 (0.017)	Loss 0.1353 (0.1937)	
Epoch: [0][86/259]	Time 1.923 (1.968)	Data 0.000 (0.017)	Loss 0.1502 (0.1932)	
Epoch: [0][87/259]	Time 1.976 (1.968)	Data 0.001 (0.017)	Loss 0.1519 (0.1928)	
Epoch: [0][88/259]	Time 1.954 (1.968)	Data 0.001 (0.016)	Loss 0.1532 (0.1923)	
Epoch: [0][89/259]	Time 1.943 (1.968)	Data 0.001 (0.016)	Loss 0.1483 (0.1918)	
Epoch: [0][90/259]	Time 1.870 (1.967)	Data 0.001 (0.016)	Loss 0.1456 (0.1913)	
Epoch: [0][91/259]	Time 1.899 (1.966)	Data 0.001 (0.016)	Loss 0.1306 (0.1907)	
Epoch: [0][92/259]	Time 1.958 (1.966)	Data 0.001 (0.016)	Loss 0.1601 (0.1903)	
Epoch: [0][93/259]	Time 1.923 (1.966)	Data 0.001 (0.016)	Loss 0.1524 (0.1899)	
Epoch: [0][94/259]	Time 1.894 (1.965)	Data 0.001 (0.015)	Loss 0.1468 (0.1895)	
Epoch: [0][95/259]	Time 1.927 (1.964)	Data 0.001 (0.015)	Loss 0.1432 (0.1890)	
Epoch: [0][96/259]	Time 1.842 (1.963)	Data 0.001 (0.015)	Loss 0.1512 (0.1886)	
Epoch: [0][97/259]	Time 1.851 (1.962)	Data 0.001 (0.015)	Loss 0.1470 (0.1882)	
Epoch: [0][98/259]	Time 1.918 (1.962)	Data 0.001 (0.015)	Loss 0.1265 (0.1876)	
Epoch: [0][99/259]	Time 1.894 (1.961)	Data 0.001 (0.015)	Loss 0.1381 (0.1871)	
Epoch: [0][100/259]	Time 1.859 (1.960)	Data 0.001 (0.015)	Loss 0.1379 (0.1866)	
Epoch: [0][101/259]	Time 1.965 (1.960)	Data 0.001 (0.014)	Loss 0.1600 (0.1863)	
Epoch: [0][102/259]	Time 1.925 (1.960)	Data 0.001 (0.014)	Loss 0.1353 (0.1858)	
Epoch: [0][103/259]	Time 1.904 (1.959)	Data 0.001 (0.014)	Loss 0.1326 (0.1853)	
Epoch: [0][104/259]	Time 1.844 (1.958)	Data 0.001 (0.014)	Loss 0.1417 (0.1849)	
Epoch: [0][105/259]	Time 1.911 (1.957)	Data 0.001 (0.014)	Loss 0.1285 (0.1844)	
Epoch: [0][106/259]	Time 1.896 (1.957)	Data 0.001 (0.014)	Loss 0.1489 (0.1840)	
Epoch: [0][107/259]	Time 1.901 (1.956)	Data 0.001 (0.014)	Loss 0.1651 (0.1839)	
Epoch: [0][108/259]	Time 1.910 (1.956)	Data 0.001 (0.014)	Loss 0.1303 (0.1834)	
Epoch: [0][109/259]	Time 1.932 (1.956)	Data 0.000 (0.013)	Loss 0.1397 (0.1830)	
Epoch: [0][110/259]	Time 1.941 (1.956)	Data 0.000 (0.013)	Loss 0.1535 (0.1827)	
Epoch: [0][111/259]	Time 1.935 (1.955)	Data 0.000 (0.013)	Loss 0.1529 (0.1824)	
Epoch: [0][112/259]	Time 1.852 (1.955)	Data 0.000 (0.013)	Loss 0.1567 (0.1822)	
Epoch: [0][113/259]	Time 1.955 (1.955)	Data 0.001 (0.013)	Loss 0.1433 (0.1819)	
Epoch: [0][114/259]	Time 1.882 (1.954)	Data 0.001 (0.013)	Loss 0.1444 (0.1815)	
Epoch: [0][115/259]	Time 1.843 (1.953)	Data 0.001 (0.013)	Loss 0.1425 (0.1812)	
Epoch: [0][116/259]	Time 1.851 (1.952)	Data 0.001 (0.013)	Loss 0.1377 (0.1808)	
Epoch: [0][117/259]	Time 1.885 (1.951)	Data 0.001 (0.013)	Loss 0.1284 (0.1804)	
Epoch: [0][118/259]	Time 1.909 (1.951)	Data 0.001 (0.012)	Loss 0.1327 (0.1800)	
Epoch: [0][119/259]	Time 1.902 (1.951)	Data 0.001 (0.012)	Loss 0.1439 (0.1797)	
Epoch: [0][120/259]	Time 1.876 (1.950)	Data 0.000 (0.012)	Loss 0.1442 (0.1794)	
Epoch: [0][121/259]	Time 1.865 (1.949)	Data 0.001 (0.012)	Loss 0.1476 (0.1791)	
Epoch: [0][122/259]	Time 1.920 (1.949)	Data 0.001 (0.012)	Loss 0.1415 (0.1788)	
Epoch: [0][123/259]	Time 1.817 (1.948)	Data 0.001 (0.012)	Loss 0.1334 (0.1785)	
Epoch: [0][124/259]	Time 1.830 (1.947)	Data 0.001 (0.012)	Loss 0.1518 (0.1782)	
Epoch: [0][125/259]	Time 1.909 (1.947)	Data 0.001 (0.012)	Loss 0.1385 (0.1779)	
Epoch: [0][126/259]	Time 1.893 (1.946)	Data 0.001 (0.012)	Loss 0.1407 (0.1776)	
Epoch: [0][127/259]	Time 1.867 (1.946)	Data 0.001 (0.012)	Loss 0.1483 (0.1774)	
Epoch: [0][128/259]	Time 1.888 (1.945)	Data 0.001 (0.012)	Loss 0.1584 (0.1773)	
Epoch: [0][129/259]	Time 1.973 (1.946)	Data 0.001 (0.011)	Loss 0.1567 (0.1771)	
Epoch: [0][130/259]	Time 1.900 (1.945)	Data 0.001 (0.011)	Loss 0.1333 (0.1768)	
Epoch: [0][131/259]	Time 1.853 (1.945)	Data 0.001 (0.011)	Loss 0.1389 (0.1765)	
Epoch: [0][132/259]	Time 1.910 (1.944)	Data 0.001 (0.011)	Loss 0.1265 (0.1761)	
Epoch: [0][133/259]	Time 1.850 (1.944)	Data 0.001 (0.011)	Loss 0.1385 (0.1758)	
Epoch: [0][134/259]	Time 1.897 (1.943)	Data 0.001 (0.011)	Loss 0.1373 (0.1755)	
Epoch: [0][135/259]	Time 1.878 (1.943)	Data 0.000 (0.011)	Loss 0.1445 (0.1753)	
Epoch: [0][136/259]	Time 1.865 (1.942)	Data 0.000 (0.011)	Loss 0.1337 (0.1750)	
